City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
245,Mayumba,GA,77.29,-3.43,10.66,overcast clouds,LIKWALE LODGE
247,Denpasar,ID,80.6,-8.65,115.22,scattered clouds,ASTON Denpasar Hotel & Convention Center
248,Areka,ET,71.89,7.07,37.7,broken clouds,Selam Hotel ሰላም ሆቴል
250,Sterling,US,73.4,39.01,-77.43,few clouds,Hampton Inn & Suites Washington-Dulles International Airport
252,Koboko,UG,76.48,3.41,30.96,light rain,Blue Dove Hotel
255,Puerto Narino,CO,70.09,-3.77,-70.38,light rain,Eware Refugio Amazonico
256,Kamina,CD,89.89,-8.74,24.99,scattered clouds,Guest House la Grace
258,Kavieng,PG,82.83,-2.57,150.8,light rain,Nusa Island Retreat
259,Thinadhoo,MV,85.03,0.53,72.93,overcast clouds,
260,Novonikolsk,RU,71.6,43.85,131.86,overcast clouds,Avtostreet
261,Kyren,RU,76.23,51.68,102.14,broken clouds,"Energetik, Pansionat Ooo ""Grand Baykal"""
264,Faanui,PF,77.77,-16.48,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
268,Mazyr,BY,74.48,52.05,29.25,scattered clouds,Euro Mini-Hotel
269,Ceyranbatan,AZ,84.2,40.54,49.66,scattered clouds,Summer Garden Sumgait
270,Sinnamary,GF,77.68,5.38,-52.95,light rain,ALETHEIA Appartement Sinnamary
271,Papetoai,PF,75.2,-17.5,-149.87,broken clouds,InterContinental Resort And Spa Moorea
273,West Bay,KY,84.0,19.37,-81.42,overcast clouds,Calypso Cove
275,Jurado,CO,75.45,7.11,-77.76,moderate rain,
276,Atambua,ID,71.83,-9.11,124.89,scattered clouds,Pondok Pesantren Al Muhajirin Atambua
277,Saint-Michel-Des-Saints,CA,73.0,46.68,-73.92,scattered clouds,Motel Du Mont trinity
278,Ellwangen,DE,81.0,48.96,10.13,scattered clouds,Hotel Königin Olga
279,Praia,CV,80.6,14.92,-23.51,few clouds,LT Aparthotel
281,Kitui,KE,79.36,-1.37,38.01,overcast clouds,Heritage Bliss Hotel
282,Mantua,IT,89.01,45.17,10.78,clear sky,Hotel la Favorita
283,Bilokurakyne,UA,76.73,49.53,38.73,few clouds,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
285,Udarnyy,RU,73.65,54.34,42.86,clear sky,
286,Peyima,SL,71.47,8.7,-11.03,light rain,
290,Vila Franca Do Campo,PT,71.6,37.72,-25.43,scattered clouds,Pestana Bahia Praia
291,Little Current,CA,71.6,45.98,-81.92,scattered clouds,Hawberry Motel
292,Verkh-Usugli,RU,74.84,52.7,115.17,scattered clouds,"Gostinitsa ""Sever"""
294,Lalibela,ET,74.98,12.03,39.03,broken clouds,Honey Land Hotel Lalibela
297,Cayenne,GF,73.4,4.93,-52.33,few clouds,Hôtel Le Dronmi
299,Namatanai,PG,80.73,-3.67,152.43,overcast clouds,Namatanai Hotel
300,Sfantu Gheorghe,RO,80.46,45.87,25.78,clear sky,Hotel Park Sfantu Gheorghe
302,Aksarka,RU,72.54,66.56,67.8,broken clouds,
303,Garden City,US,78.01,42.33,-83.33,broken clouds,Quality Inn & Suites Banquet Center
308,Alofi,NU,73.4,-19.06,-169.92,light rain,Taloa Heights
309,Yangjiang,CN,83.35,21.85,111.97,overcast clouds,HUALUXE Yangjiang City Center
310,Hamilton,US,75.99,39.18,-84.53,mist,Six Acres Bed & Breakfast
311,Huambo,AO,77.0,-12.78,15.74,scattered clouds,SiSHotel
312,Cururupu,BR,79.27,-1.83,-44.87,overcast clouds,Pousada Través'cia
313,Khandbari,NP,76.06,27.37,87.2,light rain,नेवारी फाष्टफुड एण्ड लज
314,Bethel,US,73.0,41.37,-73.41,overcast clouds,Courtyard by Marriott Danbury
315,Ponta Do Sol,PT,73.4,32.67,-17.1,few clouds,Hotel do Campo
316,Shimoda,JP,72.0,34.67,138.95,light rain,Shimoda Tokyu Hotel
319,Djougou,BJ,78.33,9.71,1.67,overcast clouds,Hotel cathas
320,Kavaratti,IN,83.82,10.57,72.64,light rain,Bismillah Hotel And Lodging
322,Kabwe,ZM,82.38,-14.45,28.45,broken clouds,Tuskers
325,Shelburne,CA,72.0,44.08,-80.2,clear sky,The Retreat at the Farm
328,Takoradi,GH,78.94,4.88,-1.76,light rain,Raybow International Hotel
330,Inhambane,MZ,77.0,-23.86,35.38,few clouds,Oceano
331,Marrakesh,MA,86.0,31.63,-8.01,clear sky,Les Jardins de La Koutoubia
337,Yar-Sale,RU,72.97,66.83,70.83,clear sky,Yalemd
338,Alibag,IN,87.8,18.64,72.88,haze,"Radisson Blu Resort & Spa - Alibaug, India"
345,Amapa,BR,73.9,1.0,-52.0,broken clouds,
347,Coahuayana,MX,78.21,18.73,-103.68,overcast clouds,Hotel Los Arcos
349,Katsuura,JP,81.0,35.13,140.3,scattered clouds,Katsuura Hotel Mikazuki
350,Mampong,GH,73.11,7.06,-1.4,overcast clouds,Adom Upscale Hotel
352,Artyom,AZ,84.2,40.47,50.33,scattered clouds,Merdan Respect
355,Kumla,SE,70.0,59.13,15.14,light rain,Kumla Hotel
356,Davila,PH,87.8,18.47,120.58,thunderstorm with light rain,SITIO 3 DAVILA PASUQUIN
357,Forestville,US,75.99,38.85,-76.88,moderate rain,Quality Inn
359,Tandahimba,TZ,85.78,-10.75,39.63,scattered clouds,
360,Monrovia,LR,78.8,6.3,-10.8,broken clouds,Eco-Hotel Hall & Restaurant
361,Zhangjiakou,CN,72.72,40.81,114.88,scattered clouds,Shell Zhangjiakou City Qiaodong District Ginza Hotel
365,Autazes,BR,74.1,-3.58,-59.13,scattered clouds,Apart hotel Tupinambá
367,Puerto Lopez,CO,70.34,4.08,-72.96,light rain,Resguardo Indigena Maguare
368,Caborca,MX,78.01,30.58,-111.1,overcast clouds,Hotel Los Lagos
